"Name"	"Measurement 3"
"Description"	""
"Date"	"2/25/2025 2:12:24 PM"
"Voltage(kV)"	"50"
"Current(uA)"	"98"
"Measurement time(s)"	"100"
"Dead time(%)"	"26.30"
"CountRate"	"153894.42"
"Processing Time"	"Process 2"
"Filter"	"None"
"Collimator"	"3 mm"
"Channel"	"4096"
"0.00"	"0"
"0.01"	"0"
"0.02"	"0"
"0.03"	"0"
"0.04"	"0"
"0.05"	"0"
"0.06"	"0"
"0.07"	"0"
"0.08"	"0"
"0.09"	"0"
"0.10"	"0"
"0.11"	"0"
"0.12"	"0"
"0.13"	"0"
"0.14"	"0"
"0.15"	"0"
"0.16"	"0"
"0.17"	"0"
"0.18"	"0"
"0.19"	"0"
"0.20"	"0"
"0.21"	"0"
"0.22"	"0"
"0.23"	"0"
"0.24"	"0"
"0.25"	"0"
"0.26"	"0"
"0.27"	"0"
"0.28"	"0"
"0.29"	"0"
"0.30"	"0"
"0.31"	"0"
"0.32"	"0"
"0.33"	"0"
"0.34"	"0"
"0.35"	"0"
"0.36"	"0"
"0.37"	"0"
"0.38"	"0"
"0.39"	"0"
"0.40"	"859"
"0.41"	"1521"
"0.42"	"1565"
"0.43"	"1557"
"0.44"	"1510"
"0.45"	"1551"
"0.46"	"1449"
"0.47"	"1439"
"0.48"	"1388"
"0.49"	"1441"
"0.50"	"1432"
"0.51"	"1433"
"0.52"	"1418"
"0.53"	"1438"
"0.54"	"1412"
"0.55"	"1445"
"0.56"	"1455"
"0.57"	"1372"
"0.58"	"1367"
"0.59"	"1361"
"0.60"	"1330"
"0.61"	"1300"
"0.62"	"1344"
"0.63"	"1364"
"0.64"	"1292"
"0.65"	"1269"
"0.66"	"1272"
"0.67"	"1302"
"0.68"	"1261"
"0.69"	"1274"
"0.70"	"1189"
"0.71"	"1180"
"0.72"	"1169"
"0.73"	"1198"
"0.74"	"1186"
"0.75"	"1241"
"0.76"	"1243"
"0.77"	"1227"
"0.78"	"1219"
"0.79"	"1228"
"0.80"	"1239"
"0.81"	"1229"
"0.82"	"1284"
"0.83"	"1344"
"0.84"	"1386"
"0.85"	"1385"
"0.86"	"1431"
"0.87"	"1581"
"0.88"	"1545"
"0.89"	"1460"
"0.90"	"1399"
"0.91"	"1372"
"0.92"	"1289"
"0.93"	"1243"
"0.94"	"1157"
"0.95"	"1142"
"0.96"	"1140"
"0.97"	"1106"
"0.98"	"1108"
"0.99"	"1135"
"1.00"	"1136"
"1.01"	"1123"
"1.02"	"1131"
"1.03"	"1151"
"1.04"	"1181"
"1.05"	"1249"
"1.06"	"1295"
"1.07"	"1326"
"1.08"	"1358"
"1.09"	"1373"
"1.10"	"1398"
"1.11"	"1326"
"1.12"	"1305"
"1.13"	"1225"
"1.14"	"1214"
"1.15"	"1203"
"1.16"	"1188"
"1.17"	"1104"
"1.18"	"1112"
"1.19"	"1184"
"1.20"	"1224"
"1.21"	"1215"
"1.22"	"1208"
"1.23"	"1240"
"1.24"	"1288"
"1.25"	"1230"
"1.26"	"1212"
"1.27"	"1230"
"1.28"	"1158"
"1.29"	"1132"
"1.30"	"1142"
"1.31"	"1106"
"1.32"	"1126"
"1.33"	"1102"
"1.34"	"1050"
