"Name"	"Measurement 4"
"Description"	""
"Date"	"2/25/2025 2:18:18 PM"
"Voltage(kV)"	"50"
"Current(uA)"	"200"
"Measurement time(s)"	"100"
"Dead time(%)"	"4.68"
"CountRate"	"25516.74"
"Processing Time"	"Process 2"
"Filter"	"None"
"Collimator"	"3 mm"
"Channel"	"4096"
"0.00"	"0"
"0.01"	"0"
"0.02"	"0"
"0.03"	"0"
"0.04"	"0"
"0.05"	"0"
"0.06"	"0"
"0.07"	"0"
"0.08"	"0"
"0.09"	"0"
"0.10"	"0"
"0.11"	"0"
"0.12"	"0"
"0.13"	"0"
"0.14"	"0"
"0.15"	"0"
"0.16"	"0"
"0.17"	"0"
"0.18"	"0"
"0.19"	"0"
"0.20"	"0"
"0.21"	"0"
"0.22"	"0"
"0.23"	"0"
"0.24"	"0"
"0.25"	"0"
"0.26"	"0"
"0.27"	"0"
"0.28"	"0"
"0.29"	"0"
"0.30"	"0"
"0.31"	"0"
"0.32"	"0"
"0.33"	"0"
"0.34"	"0"
"0.35"	"0"
"0.36"	"0"
"0.37"	"0"
"0.38"	"0"
"0.39"	"0"
"0.40"	"107"
"0.41"	"208"
"0.42"	"210"
"0.43"	"208"
"0.44"	"211"
"0.45"	"202"
"0.46"	"181"
"0.47"	"201"
"0.48"	"214"
"0.49"	"192"
"0.50"	"195"
"0.51"	"189"
"0.52"	"200"
"0.53"	"213"
"0.54"	"205"
"0.55"	"182"
"0.56"	"191"
"0.57"	"197"
"0.58"	"208"
"0.59"	"185"
"0.60"	"185"
"0.61"	"192"
"0.62"	"191"
"0.63"	"165"
"0.64"	"191"
"0.65"	"182"
"0.66"	"186"
"0.67"	"182"
"0.68"	"175"
"0.69"	"189"
"0.70"	"161"
"0.71"	"182"
"0.72"	"189"
"0.73"	"179"
"0.74"	"188"
"0.75"	"179"
"0.76"	"179"
"0.77"	"189"
"0.78"	"182"
"0.79"	"193"
"0.80"	"190"
"0.81"	"197"
"0.82"	"185"
"0.83"	"195"
"0.84"	"176"
"0.85"	"186"
"0.86"	"187"
"0.87"	"182"
"0.88"	"179"
"0.89"	"188"
"0.90"	"179"
"0.91"	"164"
"0.92"	"167"
"0.93"	"178"
"0.94"	"177"
"0.95"	"191"
"0.96"	"190"
"0.97"	"178"
"0.98"	"192"
"0.99"	"191"
"1.00"	"190"
"1.01"	"221"
"1.02"	"214"
"1.03"	"264"
"1.04"	"291"
"1.05"	"309"
"1.06"	"381"
"1.07"	"433"
"1.08"	"505"
"1.09"	"530"
"1.10"	"516"
"1.11"	"544"
"1.12"	"486"
"1.13"	"421"
"1.14"	"357"
"1.15"	"308"
"1.16"	"288"
"1.17"	"319"
"1.18"	"329"
"1.19"	"350"
"1.20"	"388"
"1.21"	"423"
"1.22"	"454"
"1.23"	"414"
"1.24"	"377"
"1.25"	"381"
"1.26"	"340"
"1.27"	"313"
"1.28"	"306"
"1.29"	"258"
"1.30"	"254"
"1.31"	"227"
"1.32"	"222"
"1.33"	"209"
"1.34"	"190"
"1.35"	"175"
"1.36"	"163"
"1.37"	"162"
"1.38"	"164"
"1.39"	"171"
"1.40"	"184"
"1.41"	"192"
"1.42"	"171"
"1.43"	"214"
"1.44"	"219"
"1.45"	"224"
"1.46"	"238"
"1.47"	"236"
"1.48"	"205"
"1.49"	"226"
"1.50"	"216"
"1.51"	"196"
"1.52"	"187"
"1.53"	"181"
"1.54"	"186"
"1.55"	"170"
"1.56"	"160"
"1.57"	"145"
"1.58"	"137"
"1.59"	"156"
"1.60"	"156"
"1.61"	"145"
"1.62"	"148"
"1.63"	"163"
"1.64"	"136"
"1.65"	"149"
"1.66"	"140"
"1.67"	"158"
"1.68"	"165"
"1.69"	"162"
"1.70"	"191"
"1.71"	"205"
"1.72"	"197"
"1.73"	"207"
"1.74"	"229"
"1.75"	"223"
"1.76"	"202"
"1.77"	"188"
"1.78"	"189"
"1.79"	"203"
"1.80"	"177"
"1.81"	"167"
"1.82"	"158"
"1.83"	"159"
"1.84"	"169"
"1.85"	"174"
"1.86"	"167"
"1.87"	"162"
"1.88"	"161"
"1.89"	"171"
"1.90"	"156"
"1.91"	"143"
"1.92"	"177"
"1.93"	"161"
"1.94"	"176"
"1.95"	"159"
"1.96"	"167"
"1.97"	"140"
"1.98"	"151"
"1.99"	"164"
"2.00"	"168"
"2.01"	"164"
"2.02"	"160"
"2.03"	"158"
"2.04"	"169"
"2.05"	"157"
"2.06"	"163"
"2.07"	"150"
"2.08"	"145"
"2.09"	"171"
"2.10"	"156"
"2.11"	"175"
"2.12"	"186"
"2.13"	"182"
"2.14"	"166"
"2.15"	"160"
"2.16"	"181"
"2.17"	"165"
"2.18"	"170"
"2.19"	"190"
"2.20"	"201"
"2.21"	"207"
"2.22"	"192"
"2.23"	"200"
"2.24"	"209"
"2.25"	"220"
"2.26"	"261"
"2.27"	"286"
"2.28"	"305"
"2.29"	"297"
"2.30"	"318"
"2.31"	"338"
"2.32"	"328"
"2.33"	"357"
"2.34"	"343"
"2.35"	"355"
"2.36"	"326"
"2.37"	"335"
"2.38"	"334"
"2.39"	"366"
"2.40"	"419"
"2.41"	"476"
"2.42"	"543"
"2.43"	"635"
"2.44"	"751"
"2.45"	"917"
"2.46"	"996"
"2.47"	"1146"
"2.48"	"1294"
"2.49"	"1456"
"2.50"	"1566"
"2.51"	"1580"
"2.52"	"1650"
"2.53"	"1674"
"2.54"	"1631"
"2.55"	"1533"
"2.56"	"1514"
"2.57"	"1505"
"2.58"	"1467"
"2.59"	"1466"
"2.60"	"1494"
"2.61"	"1533"
"2.62"	"1545"
"2.63"	"1585"
"2.64"	"1626"
"2.65"	"1601"
"2.66"	"1619"
"2.67"	"1646"
"2.68"	"1603"
"2.69"	"1617"
"2.70"	"1634"
"2.71"	"1740"
"2.72"	"2025"
"2.73"	"2470"
"2.74"	"3208"
"2.75"	"4258"
"2.76"	"5760"
"2.77"	"7962"
"2.78"	"10305"
"2.79"	"13047"
"2.80"	"16134"
"2.81"	"19064"
"2.82"	"21476"
"2.83"	"23317"
"2.84"	"23858"
"2.85"	"23458"
"2.86"	"22510"
"2.87"	"20858"
"2.88"	"18979"
"2.89"	"17255"
"2.90"	"16046"
"2.91"	"15367"
"2.92"	"15771"
"2.93"	"16353"
"2.94"	"17416"
"2.95"	"18453"
"2.96"	"19157"
"2.97"	"19096"
"2.98"	"18930"
"2.99"	"18166"
"3.00"	"16609"
"3.01"	"14701"
"3.02"	"12737"
"3.03"	"10662"
"3.04"	"8905"
"3.05"	"7227"
"3.06"	"5785"
"3.07"	"4681"
"3.08"	"4032"
"3.09"	"3359"
"3.10"	"3068"
"3.11"	"2817"
"3.12"	"2656"
"3.13"	"2728"
"3.14"	"2799"
"3.15"	"2853"
"3.16"	"2895"
"3.17"	"2995"
"3.18"	"2987"
"3.19"	"2900"
"3.20"	"2784"
"3.21"	"2521"
"3.22"	"2274"
"3.23"	"2035"
"3.24"	"1673"
"3.25"	"1418"
"3.26"	"1252"
"3.27"	"1051"
"3.28"	"930"
"3.29"	"869"
"3.30"	"814"
"3.31"	"769"
"3.32"	"744"
"3.33"	"763"
"3.34"	"707"
"3.35"	"708"
"3.36"	"627"
"3.37"	"586"
"3.38"	"531"
"3.39"	"498"
"3.40"	"455"
"3.41"	"418"
"3.42"	"377"
"3.43"	"375"
"3.44"	"391"
"3.45"	"352"
"3.46"	"361"
"3.47"	"395"
"3.48"	"380"
"3.49"	"430"
"3.50"	"469"
"3.51"	"455"
"3.52"	"484"
"3.53"	"480"
"3.54"	"502"
"3.55"	"508"
"3.56"	"477"
"3.57"	"489"
"3.58"	"502"
"3.59"	"450"
"3.60"	"494"
"3.61"	"447"
"3.62"	"392"
"3.63"	"390"
"3.64"	"431"
"3.65"	"421"
"3.66"	"414"
"3.67"	"403"
"3.68"	"401"
"3.69"	"399"
"3.70"	"406"
"3.71"	"425"
"3.72"	"408"
"3.73"	"369"
"3.74"	"393"
"3.75"	"387"
"3.76"	"361"
"3.77"	"381"
"3.78"	"341"
"3.79"	"336"
"3.80"	"335"
"3.81"	"349"
"3.82"	"345"
"3.83"	"325"
"3.84"	"322"
"3.85"	"314"
"3.86"	"343"
"3.87"	"308"
"3.88"	"323"
"3.89"	"320"
"3.90"	"331"
"3.91"	"338"
"3.92"	"371"
"3.93"	"354"
"3.94"	"350"
"3.95"	"374"
"3.96"	"352"
"3.97"	"367"
"3.98"	"359"
"3.99"	"373"
"4.00"	"407"
"4.01"	"386"
"4.02"	"401"
"4.03"	"425"
"4.04"	"402"
"4.05"	"396"
