"Name"	"Measurement 1"
"Description"	""
"Date"	"2/25/2025 1:56:03 PM"
"Voltage(kV)"	"50"
"Current(uA)"	"74"
"Measurement time(s)"	"100"
"Dead time(%)"	"27.92"
"CountRate"	"152050.45"
"Processing Time"	"Process 2"
"Filter"	"None"
"Collimator"	"3 mm"
"Channel"	"4096"
"0.00"	"0"
"0.01"	"0"
"0.02"	"0"
"0.03"	"0"
"0.04"	"0"
"0.05"	"0"
"0.06"	"0"
"0.07"	"0"
"0.08"	"0"
"0.09"	"0"
"0.10"	"0"
"0.11"	"0"
"0.12"	"0"
"0.13"	"0"
"0.14"	"0"
"0.15"	"0"
"0.16"	"0"
"0.17"	"0"
"0.18"	"0"
"0.19"	"0"
"0.20"	"0"
"0.21"	"0"
"0.22"	"0"
"0.23"	"0"
"0.24"	"0"
"0.25"	"0"
"0.26"	"0"
"0.27"	"0"
"0.28"	"0"
"0.29"	"0"
"0.30"	"0"
"0.31"	"0"
"0.32"	"0"
"0.33"	"0"
"0.34"	"0"
"0.35"	"0"
"0.36"	"0"
"0.37"	"0"
"0.38"	"0"
"0.39"	"0"
"0.40"	"1091"
"0.41"	"1954"
"0.42"	"1861"
"0.43"	"1894"
"0.44"	"1868"
"0.45"	"1846"
"0.46"	"1861"
"0.47"	"1840"
"0.48"	"1807"
"0.49"	"1796"
"0.50"	"1832"
"0.51"	"1799"
"0.52"	"1706"
"0.53"	"1760"
"0.54"	"1753"
"0.55"	"1745"
"0.56"	"1762"
"0.57"	"1739"
"0.58"	"1701"
"0.59"	"1655"
"0.60"	"1639"
"0.61"	"1561"
"0.62"	"1687"
"0.63"	"1563"
"0.64"	"1527"
"0.65"	"1618"
"0.66"	"1537"
"0.67"	"1566"
"0.68"	"1529"
"0.69"	"1494"
"0.70"	"1502"
"0.71"	"1514"
"0.72"	"1474"
"0.73"	"1515"
"0.74"	"1533"
"0.75"	"1508"
"0.76"	"1457"
"0.77"	"1511"
"0.78"	"1532"
"0.79"	"1490"
"0.80"	"1461"
"0.81"	"1492"
"0.82"	"1462"
"0.83"	"1492"
"0.84"	"1463"
"0.85"	"1519"
"0.86"	"1542"
"0.87"	"1530"
"0.88"	"1538"
"0.89"	"1537"
"0.90"	"1538"
"0.91"	"1498"
"0.92"	"1461"
"0.93"	"1447"
"0.94"	"1359"
"0.95"	"1353"
"0.96"	"1384"
"0.97"	"1331"
"0.98"	"1384"
"0.99"	"1368"
"1.00"	"1336"
"1.01"	"1370"
"1.02"	"1387"
"1.03"	"1395"
"1.04"	"1430"
"1.05"	"1450"
"1.06"	"1506"
"1.07"	"1472"
"1.08"	"1514"
"1.09"	"1535"
"1.10"	"1537"
"1.11"	"1525"
"1.12"	"1492"
"1.13"	"1446"
"1.14"	"1365"
"1.15"	"1386"
"1.16"	"1347"
"1.17"	"1387"
"1.18"	"1319"
"1.19"	"1380"
"1.20"	"1316"
"1.21"	"1373"
"1.22"	"1348"
"1.23"	"1360"
"1.24"	"1372"
"1.25"	"1376"
"1.26"	"1377"
"1.27"	"1293"
"1.28"	"1314"
"1.29"	"1303"
"1.30"	"1250"
"1.31"	"1305"
"1.32"	"1245"
"1.33"	"1255"
"1.34"	"1207"
"1.35"	"1177"
"1.36"	"1201"
"1.37"	"1212"
"1.38"	"1141"
"1.39"	"1145"
"1.40"	"1154"
"1.41"	"1181"
"1.42"	"1143"
"1.43"	"1156"
"1.44"	"1209"
"1.45"	"1217"
"1.46"	"1195"
"1.47"	"1209"
"1.48"	"1181"
"1.49"	"1158"
"1.50"	"1210"
"1.51"	"1113"
"1.52"	"1083"
"1.53"	"1110"
"1.54"	"1045"
"1.55"	"1026"
"1.56"	"1013"
"1.57"	"984"
"1.58"	"1037"
"1.59"	"1037"
"1.60"	"946"
"1.61"	"964"
"1.62"	"964"
"1.63"	"892"
"1.64"	"951"
"1.65"	"1011"
"1.66"	"1009"
"1.67"	"1085"
"1.68"	"1210"
"1.69"	"1278"
"1.70"	"1405"
"1.71"	"1604"
"1.72"	"1787"
"1.73"	"1852"
"1.74"	"1866"
"1.75"	"1846"
"1.76"	"1709"
"1.77"	"1557"
"1.78"	"1438"
"1.79"	"1234"
"1.80"	"1176"
"1.81"	"1045"
"1.82"	"1012"
"1.83"	"936"
"1.84"	"926"
"1.85"	"887"
"1.86"	"903"
"1.87"	"875"
"1.88"	"901"
"1.89"	"898"
"1.90"	"881"
"1.91"	"857"
"1.92"	"844"
"1.93"	"815"
"1.94"	"826"
"1.95"	"788"
"1.96"	"816"
"1.97"	"793"
"1.98"	"804"
"1.99"	"824"
"2.00"	"839"
"2.01"	"817"
"2.02"	"814"
"2.03"	"797"
"2.04"	"835"
"2.05"	"762"
"2.06"	"756"
"2.07"	"755"
"2.08"	"778"
"2.09"	"790"
"2.10"	"721"
"2.11"	"737"
"2.12"	"745"
"2.13"	"750"
"2.14"	"659"
"2.15"	"715"
"2.16"	"719"
"2.17"	"779"
"2.18"	"760"
"2.19"	"712"
"2.20"	"751"
"2.21"	"802"
"2.22"	"875"
"2.23"	"973"
"2.24"	"1130"
"2.25"	"1381"
"2.26"	"1595"
"2.27"	"1887"
"2.28"	"2118"
"2.29"	"2378"
"2.30"	"2478"
"2.31"	"2515"
"2.32"	"2486"
"2.33"	"2271"
"2.34"	"2123"
"2.35"	"1838"
"2.36"	"1610"
"2.37"	"1400"
"2.38"	"1203"
"2.39"	"1125"
"2.40"	"1021"
"2.41"	"896"
"2.42"	"941"
"2.43"	"966"
"2.44"	"1049"
"2.45"	"1137"
"2.46"	"1186"
"2.47"	"1244"
"2.48"	"1322"
"2.49"	"1377"
"2.50"	"1516"
"2.51"	"1598"
"2.52"	"1869"
"2.53"	"2259"
"2.54"	"2741"
"2.55"	"3373"
"2.56"	"4317"
"2.57"	"5481"
"2.58"	"6699"
"2.59"	"7885"
"2.60"	"8852"
"2.61"	"9757"
"2.62"	"10166"
"2.63"	"9947"
"2.64"	"9540"
"2.65"	"8540"
"2.66"	"7466"
"2.67"	"6158"
"2.68"	"4928"
"2.69"	"3926"
"2.70"	"3205"
"2.71"	"2708"
"2.72"	"2437"
"2.73"	"2498"
"2.74"	"2886"
"2.75"	"3414"
"2.76"	"4407"
"2.77"	"5806"
"2.78"	"7349"
"2.79"	"9164"
"2.80"	"10978"
"2.81"	"12557"
"2.82"	"13854"
"2.83"	"14726"
"2.84"	"14907"
"2.85"	"14503"
"2.86"	"13630"
"2.87"	"12243"
"2.88"	"10822"
"2.89"	"9394"
"2.90"	"8104"
"2.91"	"7342"
"2.92"	"6710"
"2.93"	"6667"
"2.94"	"6935"
"2.95"	"7269"
"2.96"	"7659"
"2.97"	"7868"
"2.98"	"8176"
"2.99"	"8049"
"3.00"	"7712"
"3.01"	"7312"
"3.02"	"6594"
"3.03"	"5874"
"3.04"	"5183"
"3.05"	"4545"
"3.06"	"3926"
"3.07"	"3532"
"3.08"	"3154"
"3.09"	"2783"
"3.10"	"2697"
"3.11"	"2584"
"3.12"	"2445"
"3.13"	"2440"
"3.14"	"2539"
"3.15"	"2527"
"3.16"	"2525"
"3.17"	"2546"
"3.18"	"2490"
"3.19"	"2367"
"3.20"	"2216"
"3.21"	"2022"
"3.22"	"1877"
"3.23"	"1747"
"3.24"	"1637"
"3.25"	"1487"
"3.26"	"1450"
"3.27"	"1439"
"3.28"	"1518"
"3.29"	"1508"
"3.30"	"1539"
"3.31"	"1548"
"3.32"	"1554"
"3.33"	"1468"
"3.34"	"1401"
"3.35"	"1297"
"3.36"	"1280"
"3.37"	"1130"
"3.38"	"1072"
"3.39"	"937"
"3.40"	"845"
"3.41"	"764"
"3.42"	"743"
"3.43"	"699"
"3.44"	"717"
"3.45"	"684"
"3.46"	"710"
"3.47"	"709"
"3.48"	"745"
"3.49"	"805"
"3.50"	"779"
"3.51"	"827"
"3.52"	"893"
"3.53"	"901"
"3.54"	"917"
"3.55"	"970"
"3.56"	"963"
"3.57"	"957"
"3.58"	"1001"
"3.59"	"967"
"3.60"	"969"
"3.61"	"974"
"3.62"	"952"
"3.63"	"951"
"3.64"	"966"
"3.65"	"991"
"3.66"	"1010"
"3.67"	"1057"
"3.68"	"1076"
"3.69"	"1086"
"3.70"	"1070"
"3.71"	"1021"
"3.72"	"982"
"3.73"	"983"
"3.74"	"940"
"3.75"	"938"
"3.76"	"886"
"3.77"	"875"
"3.78"	"861"
"3.79"	"833"
"3.80"	"841"
"3.81"	"782"
"3.82"	"770"
"3.83"	"855"
"3.84"	"807"
"3.85"	"777"
"3.86"	"790"
"3.87"	"863"
"3.88"	"827"
"3.89"	"814"
"3.90"	"823"
"3.91"	"797"
"3.92"	"877"
"3.93"	"828"
"3.94"	"906"
"3.95"	"919"
"3.96"	"932"
"3.97"	"917"
"3.98"	"924"
"3.99"	"929"
"4.00"	"979"
"4.01"	"1015"
"4.02"	"967"
"4.03"	"965"
"4.04"	"965"
"4.05"	"983"
"4.06"	"914"
"4.07"	"957"
"4.08"	"981"
"4.09"	"982"
"4.10"	"978"
"4.11"	"941"
"4.12"	"968"
"4.13"	"941"
"4.14"	"919"
"4.15"	"950"
"4.16"	"942"
"4.17"	"984"
"4.18"	"957"
"4.19"	"933"
"4.20"	"965"
"4.21"	"1031"
"4.22"	"988"
"4.23"	"962"
"4.24"	"1015"
"4.25"	"1053"
"4.26"	"1019"
"4.27"	"1052"
"4.28"	"1055"
"4.29"	"1006"
"4.30"	"995"
"4.31"	"974"
"4.32"	"1040"
"4.33"	"1043"
"4.34"	"1081"
"4.35"	"1081"
"4.36"	"1099"
"4.37"	"1138"
"4.38"	"1154"
