"Name"	"Measurement 2"
"Description"	""
"Date"	"2/25/2025 2:05:30 PM"
"Voltage(kV)"	"50"
"Current(uA)"	"111"
"Measurement time(s)"	"100"
"Dead time(%)"	"28.74"
"CountRate"	"154674.2"
"Processing Time"	"Process 2"
"Filter"	"None"
"Collimator"	"3 mm"
"Channel"	"4096"
"0.00"	"0"
"0.01"	"0"
"0.02"	"0"
"0.03"	"0"
"0.04"	"0"
"0.05"	"0"
"0.06"	"0"
"0.07"	"0"
"0.08"	"0"
"0.09"	"0"
"0.10"	"0"
"0.11"	"0"
"0.12"	"0"
"0.13"	"0"
"0.14"	"0"
"0.15"	"0"
"0.16"	"0"
"0.17"	"0"
"0.18"	"0"
"0.19"	"0"
"0.20"	"0"
"0.21"	"0"
"0.22"	"0"
"0.23"	"0"
"0.24"	"0"
"0.25"	"0"
"0.26"	"0"
"0.27"	"0"
"0.28"	"0"
"0.29"	"0"
"0.30"	"0"
"0.31"	"0"
"0.32"	"0"
"0.33"	"0"
"0.34"	"0"
"0.35"	"0"
"0.36"	"0"
"0.37"	"0"
"0.38"	"0"
"0.39"	"0"
"0.40"	"1315"
"0.41"	"2255"
"0.42"	"2257"
"0.43"	"2149"
"0.44"	"2171"
"0.45"	"2120"
"0.46"	"2104"
"0.47"	"2112"
"0.48"	"2158"
"0.49"	"2055"
"0.50"	"2030"
"0.51"	"2024"
"0.52"	"2033"
"0.53"	"1978"
"0.54"	"1982"
"0.55"	"2006"
"0.56"	"2015"
"0.57"	"1898"
"0.58"	"1886"
"0.59"	"1902"
"0.60"	"1935"
"0.61"	"1913"
"0.62"	"1864"
"0.63"	"1875"
"0.64"	"1861"
"0.65"	"1823"
"0.66"	"1754"
"0.67"	"1817"
"0.68"	"1743"
"0.69"	"1745"
"0.70"	"1746"
"0.71"	"1754"
"0.72"	"1792"
"0.73"	"1754"
"0.74"	"1662"
"0.75"	"1692"
"0.76"	"1756"
"0.77"	"1765"
"0.78"	"1698"
"0.79"	"1704"
"0.80"	"1648"
"0.81"	"1657"
"0.82"	"1671"
"0.83"	"1690"
"0.84"	"1741"
"0.85"	"1696"
"0.86"	"1616"
"0.87"	"1648"
"0.88"	"1690"
"0.89"	"1658"
"0.90"	"1555"
"0.91"	"1648"
"0.92"	"1579"
"0.93"	"1598"
"0.94"	"1614"
"0.95"	"1584"
"0.96"	"1583"
"0.97"	"1622"
"0.98"	"1548"
"0.99"	"1562"
"1.00"	"1609"
"1.01"	"1646"
"1.02"	"1557"
"1.03"	"1608"
"1.04"	"1644"
"1.05"	"1728"
"1.06"	"1720"
"1.07"	"1709"
"1.08"	"1781"
"1.09"	"1765"
"1.10"	"1795"
"1.11"	"1765"
"1.12"	"1790"
"1.13"	"1737"
"1.14"	"1674"
"1.15"	"1630"
"1.16"	"1573"
"1.17"	"1561"
"1.18"	"1601"
"1.19"	"1616"
"1.20"	"1711"
"1.21"	"1763"
"1.22"	"1745"
"1.23"	"1914"
"1.24"	"1925"
"1.25"	"1933"
"1.26"	"1898"
"1.27"	"1859"
"1.28"	"1718"
"1.29"	"1683"
"1.30"	"1562"
